id,year,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation,tags
14,2020,"An adult patient has presented to the OPD with symptoms presumptive of pulmonary tuberculosis. According to the RNTCP, the first diagnostic step to be taken is:",Sputum CBNAAT,Smear for AFB & chest X-ray,Mycobacterium liquid culture,Tuberculin skin test,B,"According to the Revised National Tuberculosis Control Programme (RNTCP), now called National Tuberculosis Elimination Programme (NTEP), the first diagnostic steps for presumptive pulmonary TB are sputum smear microscopy for AFB and chest X-ray.",Medicine|Pulmonology|PSM|haryanamo
15,2020,"As per the CDC criteria, which of the following is not a notifiable disease?",Streptococcal toxic shock syndrome,Cholera,Tetanus,Yellow fever,A,"Streptococcal toxic shock syndrome is not specifically listed as a nationally notifiable disease by CDC, while Cholera, Tetanus, and Yellow fever are mandatory reportable diseases.",PSM|Infectious Disease|Medicine|haryanamo
16,2020,First dose of PEP for HIV should be taken not later than:,12 hours,24 hours,48 hours,72 hours,D,"Post-Exposure Prophylaxis (PEP) for HIV should be initiated as soon as possible, ideally within 2 hours, but definitely within 72 hours of exposure. The first dose should not be delayed beyond 72 hours.",Medicine|Infectious Disease|haryanamo
17,2020,"For doing gastric lavage, the length of the stomach tube, that is introduced is:",30 cm,40 cm,50 cm,60 cm,C,"For an average adult, the distance from the bridge of the nose to the stomach is approximately 50 cm. Gastric lavage tubes are marked to ensure they reach the stomach cavity to effectively wash out toxins.",Surgery|Emergency Medicine|Toxicology|haryanamo
18,2020,Paltauf's haemorrhages are seen in:,Eyes,Heart,Lungs,Stomach,C,"Paltauf's haemorrhages are sub-pleural ecchymotic patches found in the lungs. They are a classic post-mortem finding in cases of drowning, caused by rupture of alveolar walls due to increased pressure and hemodilution.",Forensic Medicine|Pathology|haryanamo
19,2020,"After coitus, motile sperms can be detected in vaginal aspirate for a period of:",6-12 hours,12-18 hours,18-24 hours,24-36 hours,A,"In the acidic environment of the vagina, sperm motility is lost fairly quickly. Motile sperms are generally found in the vaginal canal for only 6 to 12 hours after intercourse, while non-motile sperms can be found for longer periods.",Forensic Medicine|Gynaecology|haryanamo
20,2020,Extradural haemorrhage is commonly caused by damage to:,Anterior meningeal artery,Middle meningeal artery,Posterior meningeal artery,Anterior ethmoidal artery,B,"Extradural Hemorrhage (EDH) most commonly results from a skull fracture at the pterion, which lacerates the Middle Meningeal Artery. This leads to rapid accumulation of arterial blood between the skull and the dura mater.",Surgery|Neurosurgery|Anatomy|haryanamo
21,2020,'Roving ring scotoma' is seen in:,Following retinal detachment surgery,Aphakic glasses,High myopia,Advanced glaucoma,B,"Roving ring scotoma (or the 'Jack-in-the-box' phenomenon) is a visual field defect caused by the high-plus 'aphakic' spectacles used after cataract surgery. The thick lens acts like a prism, creating a blind spot that moves as the eye moves.",Ophthalmology|Surgery|haryanamo
22,2020,Aqueous humor is secreted by:,Iris pigmentary epithelium,Trabecular meshwork,Ciliary body epithelium,Corneal endothelium,C,"Aqueous humor is produced by the non-pigmented ciliary epithelium of the ciliary body. It is a continuous process involving active secretion, ultrafiltration, and osmosis to maintain intraocular pressure.",Ophthalmology|Physiology|haryanamo
23,2020,'Brain fungus' is the term used for:,Aspergillosis of mid brain,Herniation of brain into mastoid cavity,Complication of invasive fungal sinusitis,Mucormycosis of brain stem,B,"'Brain fungus' or Fungus Cerebri refers to the protrusion of brain tissue and dura through a defect in the skull, commonly into the mastoid or middle ear following chronic ear infections or surgery. Despite the name, it is a surgical herniation, not an actual fungal infection.",ENT|Surgery|haryanamo
24,2020,"In diphtheria treatment, dose of the anti-diphtheritic serum is dependent on the:",Age of the patient,Weight of the patient,Duration of illness,Complications of diphtheria,C,The dose of Diphtheria Antitoxin (DAT) depends primarily on the site and severity of the lesion and the duration of the illness. It is not based on age or body weight because the toxin must be neutralized as quickly as possible before it binds to tissues.,Pediatrics|Medicine|haryanamo
25,2020,Term 'adenoid facies' does not include:,Open mouth,High cheek bones,Projecting upper incisor teeth,High arched palate,B,"Adenoid facies is characterized by a 'long' or dull face due to chronic mouth breathing. It typically includes flat or underdeveloped cheekbones, not high cheekbones. Other features include open mouth, projecting upper incisors, and high arched palate.",ENT|Pediatrics|haryanamo
26,2020,"Under 'Home Based Newborn Care (HBNC)', number of visits made by ASHA, in case of home delivery (upto 42 days) is:",3,5,7,9,C,"For a home delivery, the ASHA worker makes 7 visits (Days 1, 3, 7, 14, 21, 28, and 42) to ensure newborn survival and maternal health under the Home Based Newborn Care program.",PSM|Pediatrics|haryanamo
27,2020,"In India, 'anti-malaria month' is observed every year in the month of:",June,July,August,September,A,"In India, June is observed as 'Anti-Malaria Month'. This is strategically timed just before the onset of the monsoon season to enhance community awareness and intensify vector control measures before the peak transmission period.",PSM|Infectious Disease|haryanamo
28,2020,Daily requirement of iodine for an adult is:,50 µg,100 µg,150 µg,200 µg,C,"The Recommended Dietary Allowance (RDA) for iodine in a normal adult is 150 µg per day. Iodine is essential for the synthesis of thyroid hormones (T3 and T4), which regulate metabolism.",Nutrition|Physiology|PSM|haryanamo
29,2020,"Arrange the following in descending order of their carbohydrate content: (i) Sugar, (ii) Jaggery, (iii) Potato, (iv) Rice","(i), (ii), (iii), (iv)","(i), (ii), (iv), (iii)","(i), (iii), (ii), (iv)","(i), (iii), (iv), (ii)",B,"The descending order based on carbohydrate percentage is: Sugar (approx. 99%), Jaggery (approx. 95%), Rice (approx. 75-80%), and Potato (approx. 19-22%).",Nutrition|Biochemistry|haryanamo
30,2020,Which of the following disease is transmitted by pubic lice?,Epidemic typhus,Relapsing fever,Trench fever,None of the above,D,"Pubic lice (Pthirus pubis) primarily cause intense itching (pruritus) but are not known vectors for systemic diseases. This is in contrast to Body lice (Pediculus humanus corporis), which transmit several diseases like epidemic typhus, relapsing fever, and trench fever.",Microbiology|Dermatology|haryanamo
31,2020,Which of the following is not primary prevention?,Pulse polio immunization,Vitamin A supplementation,Self breast examination for tumor,Isoniazid to a baby breast fed by a sputum AFB positive mother,C,Self-breast examination is a form of Secondary Prevention. Secondary prevention focuses on early diagnosis and prompt treatment of an existing condition before it becomes severe. The other options are examples of primary prevention.,PSM|haryanamo
32,2020,"The best indicator for availability, utilization and effectiveness of health care service in country is:",Disability adjusted life years,Hospital bed occupancy rate,Infant mortality rate,Physical quality of life index,C,"The Infant Mortality Rate (IMR) is considered one of the most sensitive indicators of a nation's health status. It reflects not just the quality of pediatric care, but also the availability of maternal health services, nutritional status of the population, and environmental sanitation.",PSM|Epidemiology|haryanamo
33,2020,Delphi method is a:,Contraceptive technique,Method of communication,Tool for calculating sample size,None of the above,B,"The Delphi method is a structured communication technique, originally developed as a systematic, interactive forecasting method which relies on a panel of experts. It involves a series of rounds of questionnaires sent to experts to reach a consensus on a specific topic.",PSM|Research Methodology|haryanamo
34,2020,Breast milk can be stored in refrigerator (without spoiling) upto:,4 hours,24 hours,4 days,10 days,C,"Freshly expressed breast milk can be stored in a standard refrigerator (at 4°C or colder) for up to 4 days. This is part of the 'Rule of 4s': 4 hours at room temp, 4 days in the fridge, 4 months (up to 6) in a deep freezer.",Pediatrics|Nutrition|haryanamo
35,2020,"Following are the beneficiary of weekly iron & folic acid supplementation for prevention of anaemia under revised strategy of iron plus initiative, EXCEPT:",Children 6 months to five years of age,Children 5 to ten years of age,Adolescents 10-19 years of age,Women of reproductive age of 15-45 years,A,"Under the Weekly Iron and Folic Acid Supplementation (WIFS) program, children aged 6 months to 5 years receive bi-weekly (twice a week) syrup, not weekly tablets. Older children, adolescents, and women receive weekly tablets.",PSM|Pediatrics|Nutrition|haryanamo
36,2020,'Nikshay' is a code based web IT system used for the surveillance of:,Malaria,Japanese encephalitis,HIV/AIDS,Tuberculosis,D,"Nikshay is the web-enabled application used by the National Tuberculosis Elimination Programme (NTEP) for monitoring and tracking TB patients in India. 'Ni' means End, 'Kshay' means Tuberculosis. It helps in notification and direct benefit transfer to patients.",PSM|Medicine|haryanamo
37,2020,The programme strategies under National Viral Hepatitis Control Programme includes the following EXCEPT:,Immunization against Hepatitis A,Immunization against Hepatitis B,Diagnosis & treatment of Hepatitis B,Diagnosis & Treatment of Hepatitis C,A,"The National Viral Hepatitis Control Programme (NVHCP) in India focuses primarily on Hepatitis B and C because of their high chronic disease burden and risk of cirrhosis/cancer. Hepatitis A, which is usually self-limiting and waterborne, is not currently part of the national immunization strategy under this program.",PSM|Medicine|haryanamo
38,2020,"Following diseases are included under National Vector Borne Disease Control Programme, EXCEPT:",Filariasis,Yellow fever,Leishmaniasis,Dengue fever,B,"Yellow Fever is not endemic to India and therefore is not included in the National Vector Borne Disease Control Programme (NVBDCP). The program covers six diseases: Malaria, Dengue, Chikungunya, Japanese Encephalitis, Kala-azar, and Lymphatic Filariasis.",PSM|Infectious Disease|haryanamo
39,2020,"First referral unit should have the minimum of the following facilities, EXCEPT:",Obstetric surgery,Blood transfusion,Specialist pediatric care,Specialist medical care,D,"A First Referral Unit (FRU) is specifically defined by its ability to handle maternal and child health emergencies. The three 'mandatory' criteria are Emergency Obstetric Care (including C-sections), Newborn/Pediatric care, and Blood Storage facilities. General 'Specialist medical care' is not a defining requirement.",PSM|Obstetrics|haryanamo
40,2020,"With the Government of India committed to achieve the sustainable development goal of ending tuberculosis by 2025, the Revised national Tuberculosis Control Programme has been renamed as:",National End Tuberculosis Programme,National Tuberculosis Elimination Programme,National Tuberculosis Eradication Programme,No change in existing nomenclature,B,"In alignment with the ambitious goal to end TB in India by 2025 (five years ahead of the global SDG 2030 target), the RNTCP was renamed the National Tuberculosis Elimination Programme (NTEP) in early 2020.",PSM|Medicine|haryanamo
41,2020,"Open Vial Policy under the National Immunisation Programme, is not applicable to the following vaccines, EXCEPT:",BCG vaccine,JE vaccine,Hepatitis B vaccine,None of the above.,C,"The 'Open Vial Policy' allows certain multi-dose vaccine vials to be used for up to 28 days if stored correctly. It applies to Hepatitis B, DPT, TT, and OPV. It does not apply to reconstituted vaccines like BCG, Measles, or JE, which must be discarded within 4-6 hours.",PSM|Pediatrics|haryanamo
42,2020,"What is the main objective of 'Janani Suraksha Yojana', which is an activity under National Family Welfare Programme?",To reduce maternal and neonatal mortality,To promote ASHA to motivate people for safe delivery,To provide financial incentive to pregnant women,To promote all India post-partum programme,A,"The primary goal of Janani Suraksha Yojana (JSY) is to reduce maternal and neonatal mortality by promoting institutional delivery among poor pregnant women. While it uses financial incentives and ASHA workers, these are tools to achieve the ultimate objective of survival.",PSM|Obstetrics|haryanamo
43,2020,Sweating is absent in which of the following heat syndrome?,Heat cramps,Exertional heat stroke,Heat exhaustion,Classic heat stroke,D,"Classic heat stroke is characterized by the 'triad' of hyperpyrexia (temp >40°C), CNS dysfunction, and anhidrosis (absence of sweating). In classic heat stroke, the body's thermoregulatory mechanisms have completely failed, leading to hot, dry skin.",Medicine|Emergency Medicine|PSM|haryanamo
44,2020,"Harmful effects are well documented with high doses of each of the following vitamins, EXCEPT:",Vitamin A,Biotin,Vitamin C,Vitamin D,B,"Biotin (Vitamin B7) is a water-soluble vitamin that is generally considered non-toxic even at very high doses. There are no well-documented 'hypervitaminosis' states for Biotin in humans. Fat-soluble vitamins (A, D, E, K) can accumulate and cause toxicity.",Biochemistry|Nutrition|Medicine|haryanamo
45,2020,"All of the following substances are poorly adsorbed by activated charcoal, EXCEPT:",Ethanol,Benzodiazepines,Acids,Lithium,B,"Benzodiazepines are large, organic molecules that are well-adsorbed by activated charcoal. The other options are classic examples of substances where charcoal is ineffective (ethanol, acids, and lithium are not adsorbed well by activated charcoal).",Toxicology|Emergency Medicine|Pharmacology|haryanamo
46,2020,Which of the following first aid measures is the only one recommended now in the field to limit snake envenomation?,Placing a tourniquet above the bite site,Mechanical suction of the bite site,Immobilising the bitten extremity,Incising the bite site,C,"The current standard of care for snakebite first aid is immobilization (Pressure Immobilization Technique). This slows the lymphatic spread of the venom. Older methods like cutting, sucking, or tourniquets are now known to be harmful and ineffective.",Emergency Medicine|Forensic Medicine|haryanamo
47,2020,"Associate the type of crisis in sickle cell anaemia with clinical conditions against it:
Type of crisis: A-Aplastic crisis, B-Vaso-occlusive crisis, C-Haemolytic crisis with splenic sequestration
Clinical condition: 1-severe pain, tissue damage & necrosis, 2-Decreased Hb & Hct, high reticulocyte count, and jaundice, 3-Low reticulocyte count, and Parvovirus B19 infection","A-1, B-3, C-2","A-2, B-3, C-1","A-3, B-2, C-1","A-3, B-1, C-2",D,"Aplastic crisis (A) is triggered by Parvovirus B19, leading to low reticulocytes (3). Vaso-occlusive crisis (B) involves 'sludging' of sickled cells in capillaries, causing severe pain and tissue death (1). Splenic sequestration/Haemolytic crisis (C) results in rapid pooling of blood in the spleen, causing a drop in Hb but showing a high reticulocyte response (2).",Hematology|Pediatrics|Medicine|haryanamo
48,2020,"Out of the following, the best vein for total parenteral nutrition is:",Subclavian vein,Femoral vein,Brachial vein,Saphenous vein,A,The Subclavian vein is the preferred site for Total Parenteral Nutrition (TPN) because it is a high-flow central vein. TPN solutions are highly concentrated (hypertonic) and would irritate or damage smaller peripheral veins; the high blood flow in the subclavian vein rapidly dilutes the solution.,Surgery|Anatomy|Medicine|haryanamo
49,2020,"Chronic vomiting leads to all, EXCEPT:",Hyponatremia,Hypochloremia,Metabolic alkalosis,Metabolic acidosis,D,"Chronic vomiting causes the loss of gastric hydrochloric acid (HCl). This results in a loss of hydrogen ions and chloride ions, leading to Metabolic Alkalosis, not acidosis. Acidosis usually occurs with severe diarrhea (loss of bicarbonate), not vomiting.",Surgery|Physiology|Medicine|haryanamo
50,2020,Content of Na+ in Ringer Lactate is:,154 mEq/L,136 mEq/L,130 mEq/L,14 mEq/L,C,"Ringer's Lactate (RL) is a balanced salt solution with sodium (Na+) concentration of 130 mEq/L, which is closer to physiological plasma concentration than Normal Saline (154 mEq/L).",Surgery|Medicine|Anesthesia|haryanamo
51,2020,"In which of the following infections, the rash spreads from the hairline downwards?",Measles,Dengue,Infectious mononucleosis,Epidemic typhus,A,"The maculopapular rash of Measles (Rubeola) characteristically begins behind the ears and at the hairline, then spreads downward (cephalocaudal) to the face, trunk, and extremities.",Pediatrics|Medicine|haryanamo
52,2020,"In the classification of wounds, 'class III wound' is:",Clean,Dirty,Clean contaminated,Contaminated,D,"Surgical wounds are classified into four categories: Class I (Clean), Class II (Clean contaminated), Class III (Contaminated), and Class IV (Dirty). A Class III wound includes open, fresh accidental wounds or surgeries with major breaks in sterile technique or gross spillage from the gastrointestinal tract.",Surgery|haryanamo
53,2020,Which of the following is the most common cause of radiolucent urinary calculus?,Uric acid,Cystine,Calcium oxalate,Phosphate,A,"Uric acid stones are the most common type of purely radiolucent stones, meaning they do not show up on conventional X-rays. They are formed in persistently acidic urine and require CT scan or Ultrasound for detection.",Surgery|Urology|haryanamo
54,2020,Most common indication of circumcision is:,Phimosis,Recurrent balanoposthitis,Recurrent UTI,Request for cultural reasons,D,"Globally and statistically, the vast majority of circumcisions are performed for religious, social, or cultural reasons rather than medical necessity. Medical indications include phimosis, recurrent balanoposthitis, and recurrent UTIs, but these are less frequent than cultural requests.",Surgery|Pediatrics|haryanamo
55,2020,Obstructive jaundice does not cause:,Pruritus,Elevated serum bilirubin,Raised Alkaline Phosphatase,Raised Urinary urobilinogen,D,"In obstructive (post-hepatic) jaundice, bile cannot reach the intestine. Since urobilinogen is formed by bacterial action on bilirubin in the gut, its production ceases, leading to absent or decreased urinary urobilinogen. Pruritus, elevated bilirubin (primarily conjugated), and raised ALP are characteristic findings.",Surgery|Medicine|Gastroenterology|haryanamo
56,2020,Most common type of intussusception is:,lleoileal,lleocolic,Colocolic,Retrograde,B,"Ileocolic intussusception, where the terminal ileum invaginates into the ascending colon, is the most frequent type seen in children, accounting for approximately 75-90% of cases.",Surgery|Pediatrics|haryanamo
57,2020,"A 30-year old woman presents to doctor, with fear of developing ovarian cancer. Her 70-year old grandmother had also recently died of ovarian cancer. She is counselled about the risk factors and prevention for ovarian cancer. Which of the following can decrease in a woman, risk of ovarian cancer?",Use of combined oral contraceptive therapy,Menopause after the age of 55,Non-steroidal anti-inflammatory drugs,Nulliparity,A,Combined oral contraceptive pills (OCPs) are well-documented to decrease the risk of ovarian cancer by inhibiting ovulation. Reducing the total number of 'incessant ovulations' protects the ovarian surface epithelium from repeated trauma and repair.,Gynaecology|Oncology|haryanamo
58,2020,"Life threatening malformation, that can be corrected in utero, are all, EXCEPT:",Congenital diaphragmatic hernia,Conjoint twins,Congenital cystic adenomatid malformation with hydrops,Sacrococcygeal teratoma with hydrops,B,Conjoint twins cannot be 'corrected' or separated in utero. This is a complex surgical procedure performed after birth (post-natally) due to shared organs and the high risk of fetal demise during intra-uterine manipulation. The other conditions can potentially be managed with fetal surgery.,Obstetrics|Surgery|Pediatrics|haryanamo
59,2020,Most specific marker indicative of neural tube defect is:,Alpha fetoprotein,Unconjugated estriol,Acetylcholinesterase,Pseudocholinesterase,C,"While Alpha-fetoprotein (AFP) is a common screening marker, Acetylcholinesterase (AChE) is the most specific marker for open neural tube defects (NTDs). If AChE is present in the amniotic fluid, it confirms that neural tissue is in direct contact with the fluid.",Obstetrics|Biochemistry|haryanamo
60,2020,Daily requirement of folic acid in normal pregnant woman is:,50-100mcg/day,400mcg/day,1 mg/day,5mg/day,B,A normal pregnant woman requires 400 mcg (0.4 mg) of folic acid daily to support fetal development and prevent neural tube defects. This should ideally start pre-conceptionally. Higher doses (5mg/day) are reserved for high-risk women.,Obstetrics|Nutrition|haryanamo
61,2020,"Commonest cause of primary amenorrhea, in a 16 year old girl is:",Absent uterus,Imperforate hymen,Transverse vaginal septum,Constitutional delay,D,"Constitutional delay of growth and puberty is the most common cause of delayed menarche (primary amenorrhea). It is often a normal variant where the 'biological clock' is just set slightly later, often with a family history of late puberty.",Gynaecology|Pediatrics|haryanamo
62,2020,Drug of choice for treating a girl with precocious puberty is:,Medroxy-progesterone acetate,Cyproterone acetate,GnRH analogue,Danazol,C,"GnRH analogues (like Leuprolide) are the gold standard for Central Precocious Puberty. Continuous administration of GnRH analogues desensitizes the pituitary GnRH receptors, leading to a decrease in LH and FSH secretion, which effectively 'pauses' the early puberty.",Pediatrics|Pharmacology|Gynaecology|haryanamo
63,2020,Which of the following methods of laparoscopic sterilization is associated with minimal loss of fallopian tube:,Filshie clip,Fallope ring,Hulka's clip,Laparoscopic diathermy,A,The Filshie clip is designed to cause minimal destruction to the fallopian tube (about 4mm). This makes it the method with the highest potential for successful reversal compared to rings or cautery.,Gynaecology|Surgery|haryanamo
64,2020,"If on fetal echocardiography, it is reported as congenital heart block, then mother should be investigated for:",Congenital heart disease,Systemic lupus erythematosus,Antiphospholipid antibody syndrome,Autoimmune hemolytic anemia,B,"Isolated congenital complete heart block in a fetus is highly associated with maternal autoimmune diseases, specifically Systemic Lupus Erythematosus (SLE) or Sjögren's syndrome. Maternal anti-SSA/Ro and anti-SSB/La antibodies cross the placenta and damage the fetal conducting system.",Obstetrics|Rheumatology|Pediatrics|haryanamo
65,2020,Most effective therapy for the treatment of bacterial vaginosis during pregnancy is:,Clindamycin,Erythromycin,Metronidazole,Ampicillin,C,"Metronidazole (either oral or vaginal) is the treatment of choice for Bacterial Vaginosis (BV). In pregnancy, treating BV is important because it is associated with preterm labor and premature rupture of membranes.",Gynaecology|Obstetrics|Pharmacology|haryanamo
66,2020,Which of the following is the most common cause of diaphragmatic hernia?,Patency of Bochdalek foramen,Patency of Morgagni canal,Defect in muscular portion of diaphragm,Defect in membranous portion of diaphragm,A,"The Bochdalek hernia is the most common type of congenital diaphragmatic hernia (CDH), accounting for ~85-90% of cases. It occurs due to failure of the pleuroperitoneal canal (Foramen of Bochdalek) to close during development, usually on the left side.",Pediatrics|Surgery|Anatomy|haryanamo
67,2020,Which heart disease is associated with 'Turner syndrome'?,VSD,ASD,Endocardial cushion defect,Bicuspid aortic valve,D,"Turner Syndrome (45,XO) is strongly associated with left-sided obstructive cardiac lesions. Bicuspid aortic valve is the most common cardiac abnormality (occurring in ~30% of cases), followed closely by Coarctation of the Aorta.",Pediatrics|Cardiology|Genetics|haryanamo
68,2020,"Which statement out of the following, depicts action of Atrial Natriuretic factor?",Inhibits renin and aldosterone and increases glomerular filtration rate (GFR),Increases blood pressure and decreases GFR.,"Decreases circulating blood volume, stimulates release of ADH",Stimulates renin and increases GFR,A,Atrial Natriuretic Factor (ANF/ANP) is released by the heart atria in response to stretch (high volume). Its goal is to lower blood pressure and volume by promoting salt/water excretion. It achieves this by inhibiting the Renin-Angiotensin-Aldosterone System (RAAS) and dilating the afferent arteriole to increase GFR.,Physiology|Cardiology|Medicine|haryanamo
69,2020,"All of the following can lead to hypernatremic dehydration, EXCEPT:",Diabetes insipidus,Improperly mixed formula feed,Putting child under radiant warmer,Cholera,D,"Cholera causes a massive 'secretory' diarrhea where water and electrolytes (like Sodium) are lost together in roughly equal amounts, usually leading to isonatremic (or sometimes hyponatremic) dehydration. The other conditions cause hypernatremia by water loss without proportional salt loss.",Pediatrics|Medicine|haryanamo
70,2020,Colostrum is rich in which of the following vitamins?,Vitamin K,Vitamin D,Vitamin B12,Vitamin A,D,"Colostrum (the first milk) is exceptionally high in Vitamin A, which gives it a characteristic yellowish color. It is also rich in proteins and antibodies (IgA), providing essential immunity and nutrition to the newborn.",Pediatrics|Nutrition|haryanamo
71,2020,"All of the following conditions will increase maintenance fluid requirement in a child, EXCEPT:",Fever,Hyperventilation,Phototherapy,Hypothyroidism,D,"Hypothyroidism decreases the basal metabolic rate (BMR). Since maintenance fluid requirements are directly proportional to metabolic activity, a lower BMR means the child needs less fluid. Fever, hyperventilation, and phototherapy all increase fluid requirements.",Pediatrics|Medicine|haryanamo
72,2020,Which one out of the following is part of the carnitine deficiency?,Low free fatty acids,Low triglyceride,Hyperglycaemia,Cardiomyopathy,D,"Carnitine is essential for the transport of long-chain fatty acids into the mitochondria for beta-oxidation. A deficiency leads to impaired energy production from fats, which severely affects high-energy-demand organs like the heart, leading to cardiomyopathy.",Biochemistry|Pediatrics|Medicine|haryanamo
73,2020,"In vegan mothers, breast milk is deficient in which of the following nutrients?",Vitamin C,Vitamin A,Vitamin B12,Thiamine,C,"Vitamin B12 is found almost exclusively in animal-sourced foods. Vegan mothers who do not take supplements will have low B12 stores, leading to breast milk that is deficient in B12, which can cause severe neurological damage and anemia in the infant.",Pediatrics|Nutrition|Medicine|haryanamo
74,2020,Distal inter-phalangeal joints of hands are commonly involved in:,Still's disease,Ankylosing spondylitis,Psoriatic arthropathy,Rheumatoid arthritis,C,"Psoriatic arthritis is one of the few inflammatory arthritides that characteristically involves the Distal Interphalangeal (DIP) joints. This helps distinguish it from Rheumatoid Arthritis, which typically spares the DIPs.",Rheumatology|Medicine|Orthopedics|haryanamo
